tweet_created_at,tweet_id,tweet_text,tweet_source,tweet_favorite_count,tweet_coordinates,tweet_lang,tweet_place,tweet_retweet_count,tweet_retweeted,tweet_truncated,name,screen_name,location,user_id,statuses_count,followers_count,friends_count,favourites_count,description,retweet_created_at,retweet_id,retweet_text,retweet_source,retweet_favorite_count,retweet_coordinates,retweet_lang,retweet_place,retweet_retweet_count,retweet_retweeted,retweet_truncated
Wed Apr 08 22:18:52 +0000 2020,1248012462772781056,@radsaza Made ur iPhone an android,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,False,d_,2xDana_,,860336454756696064,24205,3205,603,48138,22♂ // tristate yoshi! #LMGTTO,,,,,,,,,,,
Wed Apr 08 22:18:55 +0000 2020,1248012473178849281,AndroidいいよAndroid,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,ja,,0,False,False,ゆるま,krha23,,896328785406025730,12002,192,213,9719,Twitter始めました,,,,,,,,,,,
Wed Apr 08 22:18:56 +0000 2020,1248012476987236355,RT @SelenatorGains: Apple or Android?,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,False,Louzi Founder OF Family #GainLouzi,louzival2011,@dilruba_lees ☆No MD ok,3239012254,253329,53161,48826,169889,"#MGWV
#TEAMSTALLION
#TMPENTAL
#1Drive
@Majd9757 @DLees28
#TMRUBA
@MarEthr
#TM_TEMPESTADE
#TEAMSIL
#TM_RUBY
#1FIRST
@___marcio",Wed Apr 08 20:50:04 +0000 2020,1247990116016164864,Apple or Android?,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",38,,en,,17,False,False
Wed Apr 08 22:18:58 +0000 2020,1248012484943835136,tem algum app pra android que grava a tela?,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,pt,,0,False,False,fabi⁷,fabiscate,welcome to the RN,178889949,229150,783,760,5134,all the foxy ladies love my accent,,,,,,,,,,,
Wed Apr 08 22:18:58 +0000 2020,1248012487091294208,RT @Borba_Mello2: @crfhyago É melhor ser comunista de Twitter for iPhone do que capitalista for Android.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,pt,,0,False,False,raphael,waynebruccc,Teresina - PI,1204914795461464064,1520,16,21,3482,bebo cerveja todo dia pq,Wed Apr 08 21:59:58 +0000 2020,1248007705245052928,@crfhyago É melhor ser comunista de Twitter for iPhone do que capitalista for Android.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2,,pt,,1,False,False
Wed Apr 08 22:19:01 +0000 2020,1248012500466946048,モイ！Androidからキャス配信中 -YDK https://t.co/6dx6nSWtRf,"<a href=""http://twitcasting.tv/"" rel=""nofollow"">TwitCasting</a>",0,,ja,,0,False,False,ヨハンソン和樹,yohanson25kiw,,1396276878,26722,512,562,53357,ヨハンソンですよろしくお願いします       特撮.浦和レッズ.西武ライオンズ.アニメ.ジャンプ.欅坂46.🐼🐲ぱっち.FGO.シノアリス　#すらちゃん大好きファンクラブ　,,,,,,,,,,,
Wed Apr 08 22:19:03 +0000 2020,1248012505990852608,RT @Rabiah__A: iPhone emojis vs android emojis is the reason why iPhones will forever be better.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,en,,0,False,False,Aleeha🧞‍♀️,aleehaax,"London, England",1201826278904602624,842,675,496,10209,beauty is in the eye of the beholder || 17,Wed Apr 08 22:18:31 +0000 2020,1248012373811580929,iPhone emojis vs android emojis is the reason why iPhones will forever be better.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,,en,,1,False,False
Wed Apr 08 22:19:05 +0000 2020,1248012517080592386,RT @NCSbyHTCS: #android | #mobilesecurity | Samsung Galaxy A20e and Galaxy A10 also make the jump to Android 10 https://t.co/9xMjeovXkw htt…,"<a href=""https://cysecbot.sofianehamlaoui.me"" rel=""nofollow"">CyberSecurityBot</a>",0,,en,,0,False,False,CyberSecurityBot 🤖,CyberSecCare,Matrix,1153753580890988544,52146,701,1,33,"Cyber Security Bot AKA Fer3oun : A bot made by @S0fianeHamlaoui, Another meatbag that I hate. Contact him if you want to use me.",Wed Apr 08 22:18:50 +0000 2020,1248012454447050753,#android | #mobilesecurity | Samsung Galaxy A20e and Galaxy A10 also make the jump to Android 10… https://t.co/AIltCXPyg2,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,,en,,1,False,True
Wed Apr 08 22:19:08 +0000 2020,1248012530884022272,@erylacerda_ Se eu tivesse patrocínio da samsung eu tbm seria tt for android e com vontade,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,pt,,0,False,False,yanitta,YanaInsegura,,1132088057400897537,2040,104,169,11378,me exponho talvez um pouco muito aqui mas oq importa é q eu sou esforçada taokei,,,,,,,,,,,
Wed Apr 08 22:19:10 +0000 2020,1248012535518748672,"このアイフォン、前に父親が会社で使ってたやつで、もう今は使ってなくてWi-Fiあるとこじゃないとネットは使えないやつで

だから私のスマホがAndroidなんだけど、最近Twitterの調子めちゃ悪くてすぐに落ちちゃう、
アップデ… https://t.co/byIw2IgSms","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,ja,,0,False,True,Lier/りえる,Lier_222,家で踊れる環境なんとか作れるように模索中,1103045088890957824,3096,160,690,5428,"りえるです。

踊ってみたやってます
あとポートレートも　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
　　　　　　　　　






　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　コロナになんて負けねえよ。
むしろ楽しんでやる🔥",,,,,,,,,,,
Wed Apr 08 22:19:13 +0000 2020,1248012549678743552,"RT @feralgames: Company of Heroes is coming to iPhone and Android later this year. 💥

The classic World War II RTS is set to invade new ter…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,False,Crypticforce,TheonlyCameroon,"New York, USA",962151287369469952,6223,231,1336,15621,"Main Tank Player for Airstrike, Metalhead and memer",Tue Apr 07 10:01:00 +0000 2020,1247464383564984320,"Company of Heroes is coming to iPhone and Android later this year. 💥

The classic World War II RTS is set to invade… https://t.co/YYTYb5xwzF","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",208,,en,,52,False,True
Wed Apr 08 22:19:14 +0000 2020,1248012555064205312,モイ！Androidからキャス配信中 - / 朝からまったりトーク https://t.co/mEBd2jO9vO,"<a href=""http://twitcasting.tv/"" rel=""nofollow"">TwitCasting</a>",0,,ja,,0,False,False,竜宮レナ🌙.*·̩͙,kamaboko_tzi,,1177761849544069125,3734,4817,569,5916,"ROCKとMARVELとアニメ好き☆一年中ライブやフェスで騒いでます🤟
お客様にはたくさん元気をあげたい🌻
一緒にたくさん笑おうね(✌^∀^) ﾌｫﾛﾊﾞは同業様or本指様のみ  #風俗 #デリヘル #ホテヘル #神奈川 #横浜 #曙町 #風俗嬢 #鬼滅の刃 #ロック #アベンジャーズ",,,,,,,,,,,
